date,close
2024-01-02,593.00
2024-01-03,578.00
2024-01-04,580.00
2024-01-05,576.00
2024-01-08,583.00
2024-01-09,586.00
2024-01-10,584.00
2024-01-11,586.00
2024-01-12,584.00
2024-01-15,586.00
2024-01-16,580.00
2024-01-17,581.00
2024-01-18,588.00
2024-01-19,626.00
2024-01-22,626.00
2024-01-23,628.00
2024-01-24,627.00
2024-01-25,642.00
2024-01-26,644.00
2024-01-29,648.00
2024-01-30,642.00
2024-01-31,628.00
2024-02-01,628.00
2024-02-02,635.00
2024-02-05,646.00
2024-02-15,697.00
2024-02-16,683.00
2024-02-19,678.00
2024-02-20,687.00
2024-02-21,681.00
2024-02-22,692.00
2024-02-23,697.00
2024-02-26,698.00
2024-02-27,698.00
2024-02-29,690.00
2024-03-01,689.00
2024-03-04,725.00
2024-03-05,730.00
2024-03-06,735.00
2024-03-07,760.00
2024-03-08,784.00
2024-03-11,766.00
2024-03-12,770.00
2024-03-13,779.00
2024-03-14,784.00
2024-03-15,753.00
2024-03-18,764.00
2024-03-19,762.00
2024-03-20,758.00
2024-03-21,784.00
2024-03-22,785.00
2024-03-25,780.00
2024-03-26,782.00
2024-03-27,779.00
2024-03-28,769.00
2024-03-29,779.00
2024-04-01,770.00
2024-04-02,790.00
2024-04-03,780.00
2024-04-08,783.00
2024-04-09,819.00
2024-04-10,815.00
2024-04-11,820.00
2024-04-12,818.00
2024-04-15,806.00
2024-04-16,788.00
2024-04-17,804.00
2024-04-18,804.00
2024-04-19,750.00
2024-04-22,742.00
2024-04-23,754.00
2024-04-24,783.00
2024-04-25,766.00
2024-04-26,782.00
2024-04-29,795.00
2024-04-30,790.00
2024-05-02,772.00
2024-05-03,780.00
2024-05-06,786.00
2024-05-07,800.00
2024-05-08,802.00
2024-05-09,796.00
2024-05-10,802.00
2024-05-13,819.00
2024-05-14,825.00
2024-05-15,839.00
2024-05-16,841.00
2024-05-17,835.00
2024-05-20,835.00
2024-05-21,841.00
2024-05-22,864.00
2024-05-23,875.00
2024-05-24,867.00
2024-05-27,869.00
2024-05-28,865.00
2024-05-29,857.00
2024-05-30,838.00
2024-05-31,821.00
2024-06-03,846.00
2024-06-04,839.00
2024-06-05,854.00
2024-06-06,894.00
2024-06-07,879.00
2024-06-11,883.00
2024-06-12,909.00
2024-06-13,919.00
2024-06-14,922.00
2024-06-17,921.00
2024-06-18,943.00
2024-06-19,981.00
2024-06-20,981.00
2024-06-21,970.00
2024-06-24,940.00
2024-06-25,945.00
2024-06-26,960.00
2024-06-27,960.00
2024-06-28,966.00
2024-07-01,968.00
2024-07-02,960.00
2024-07-03,979.00
2024-07-04,1005.00
2024-07-05,1005.00
2024-07-08,1035.00
2024-07-09,1040.00
2024-07-10,1045.00
2024-07-11,1080.00
2024-07-12,1040.00
2024-07-15,1040.00
2024-07-16,1055.00
2024-07-17,1030.00
2024-07-18,1005.00
2024-07-19,970.00
2024-07-22,939.00
2024-07-23,979.00
2024-07-26,924.00
2024-07-29,944.00
2024-07-30,940.00
2024-07-31,934.00
2024-08-01,960.00
2024-08-02,903.00
2024-08-05,815.00
2024-08-06,880.00
2024-08-07,920.00
2024-08-08,896.00
2024-08-09,934.00
2024-08-12,940.00
2024-08-13,941.00
2024-08-14,948.00
2024-08-15,943.00
2024-08-16,969.00
2024-08-19,973.00
2024-08-20,973.00
2024-08-21,958.00
2024-08-22,951.00
2024-08-23,949.00
2024-08-26,950.00
2024-08-27,942.00
2024-08-28,964.00
2024-08-29,943.00
2024-08-30,944.00
2024-09-02,948.00
2024-09-03,940.00
2024-09-04,889.00
2024-09-05,902.00
2024-09-06,918.00
2024-09-09,899.00
2024-09-10,904.00
2024-09-11,901.00
2024-09-12,940.00
2024-09-13,947.00
2024-09-16,947.00
2024-09-18,941.00
2024-09-19,960.00
2024-09-20,973.00
2024-09-23,977.00
2024-09-24,987.00
2024-09-25,1005.00
2024-09-26,1015.00
2024-09-27,1000.00
2024-09-30,957.00
2024-10-01,972.00
2024-10-04,977.00
2024-10-07,1005.00
2024-10-08,1010.00
2024-10-09,1020.00
2024-10-11,1045.00
2024-10-14,1045.00
2024-10-15,1070.00
2024-10-16,1045.00
2024-10-17,1035.00
2024-10-18,1085.00
2024-10-21,1085.00
2024-10-22,1075.00
2024-10-23,1060.00
2024-10-24,1060.00
2024-10-25,1065.00
2024-10-28,1050.00
2024-10-29,1040.00
2024-10-30,1030.00
2024-11-01,1025.00
2024-11-04,1040.00
2024-11-05,1050.00
2024-11-06,1060.00
2024-11-07,1065.00
2024-11-08,1090.00
2024-11-11,1085.00
2024-11-12,1050.00
2024-11-13,1035.00
2024-11-14,1035.00
2024-11-15,1035.00
2024-11-18,1025.00
2024-11-19,1040.00
2024-11-20,1025.00
2024-11-21,1010.00
2024-11-22,1040.00
2024-11-25,1030.00
2024-11-26,1010.00
2024-11-27,1000.00
2024-11-28,1005.00
2024-11-29,996.00
2024-12-02,1035.00
2024-12-03,1055.00
2024-12-04,1070.00
2024-12-05,1075.00
2024-12-06,1065.00
2024-12-09,1075.00
2024-12-10,1065.00
2024-12-11,1045.00
2024-12-12,1060.00
2024-12-13,1065.00
2024-12-16,1085.00
2024-12-17,1075.00
2024-12-18,1085.00
2024-12-19,1070.00
2024-12-20,1035.00
2024-12-23,1080.00
2024-12-24,1080.00
2024-12-25,1085.00
2024-12-26,1085.00
2024-12-27,1090.00
2024-12-30,1090.00
2024-12-31,1075.00
